5400
         (-14.00, 8.00, -0.17) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-14.00, 9.00, -0.19) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-15.00, 9.00, -0.26) (0.10, 0.37, 0.37) (0.00, 0.00) 
         (-14.00, 9.00, -0.19) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-15.00, 10.00, -0.12) (0.10, 0.44, 0.44) (0.00, 0.00) 
         (-15.00, 10.00, -0.12) (0.10, 0.44, 0.44) (0.00, 0.00) 
         (-14.00, 9.00, -0.19) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-14.00, 10.00, -0.21) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-15.00, 10.00, -0.12) (0.10, 0.44, 0.44) (0.00, 0.00) 
         (-14.00, 10.00, -0.21) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-15.00, 11.00, -0.05) (0.10, 0.48, 0.48) (0.00, 0.00) 
         (-15.00, 11.00, -0.05) (0.10, 0.48, 0.48) (0.00, 0.00) 
         (-14.00, 10.00, -0.21) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-14.00, 11.00, -0.23) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-15.00, 11.00, -0.05) (0.10, 0.48, 0.48) (0.00, 0.00) 
         (-14.00, 11.00, -0.23) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-15.00, 12.00, -0.12) (0.10, 0.44, 0.44) (0.00, 0.00) 
         (-15.00, 12.00, -0.12) (0.10, 0.44, 0.44) (0.00, 0.00) 
         (-14.00, 11.00, -0.23) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-14.00, 12.00, -0.21) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-15.00, 12.00, -0.12) (0.10, 0.44, 0.44) (0.00, 0.00) 
         (-14.00, 12.00, -0.21) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-15.00, 13.00, -0.26) (0.10, 0.37, 0.37) (0.00, 0.00) 
         (-15.00, 13.00, -0.26) (0.10, 0.37, 0.37) (0.00, 0.00) 
         (-14.00, 12.00, -0.21) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-14.00, 13.00, -0.19) (0.10, 0.41, 0.41) (0.00, 0.00) 
