2400
(-4.500000, 3.500000, 0.177379) (-5.000000, 3.500000, 0.177379) (0.000000, 1.000000) 
(-5.000000, 4.000000, -0.238694) (-5.000000, 3.500000, -0.238694) (0.000000, 1.000000) 
(-5.000000, 4.000000, -0.238694) (-5.000000, 3.500000, -0.238694) (0.000000, 1.000000) 
(-4.500000, 3.500000, 0.177379) (-5.000000, 3.500000, 0.177379) (0.000000, 1.000000) 
(-4.500000, 4.000000, 0.101061) (-5.000000, 3.500000, 0.101061) (0.000000, 1.000000) 
(-5.000000, 4.000000, -0.238694) (-5.000000, 4.000000, -0.238694) (0.000000, 1.000000) 
(-4.500000, 4.000000, 0.101061) (-5.000000, 4.000000, 0.101061) (0.000000, 1.000000) 
(-5.000000, 4.500000, -0.135995) (-5.000000, 4.000000, -0.135995) (0.000000, 1.000000) 
(-5.000000, 4.500000, -0.135995) (-5.000000, 4.000000, -0.135995) (0.000000, 1.000000) 
(-4.500000, 4.000000, 0.101061) (-5.000000, 4.000000, 0.101061) (0.000000, 1.000000) 
(-4.500000, 4.500000, -0.000000) (-5.000000, 4.000000, -0.000000) (0.000000, 1.000000) 
(-5.000000, 4.500000, -0.135995) (-5.000000, 4.500000, -0.135995) (0.000000, 1.000000) 
(-4.500000, 4.500000, -0.000000) (-5.000000, 4.500000, -0.000000) (0.000000, 1.000000) 
(-5.000000, 5.000000, 0.000000) (-5.000000, 4.500000, 0.000000) (0.000000, 1.000000) 
(-5.000000, 5.000000, 0.000000) (-5.000000, 4.500000, 0.000000) (0.000000, 1.000000) 
(-4.500000, 4.500000, -0.000000) (-5.000000, 4.500000, -0.000000) (0.000000, 1.000000) 
(-4.500000, 5.000000, -0.101061) (-5.000000, 4.500000, -0.101061) (0.000000, 1.000000) 
(-4.500000, -5.000000, -0.015842) (-4.500000, -5.000000, -0.015842) (0.000000, 1.000000) 
(-4.000000, -5.000000, 0.269379) (-4.500000, -5.000000, 0.269379) (0.000000, 1.000000) 
(-4.500000, -4.500000, 0.086873) (-4.500000, -5.000000, 0.086873) (0.000000, 1.000000) 
(-4.500000, -4.500000, 0.086873) (-4.500000, -5.000000, 0.086873) (0.000000, 1.000000) 
(-4.000000, -5.000000, 0.269379) (-4.500000, -5.000000, 0.269379) (0.000000, 1.000000) 
(-4.000000, -4.500000, 0.521926) (-4.500000, -5.000000, 0.521926) (0.000000, 1.000000) 
(-4.500000, -4.500000, 0.086873) (-4.500000, -4.500000, 0.086873) (0.000000, 1.000000) 
(-4.000000, -4.500000, 0.521926) (-4.500000, -4.500000, 0.521926) (0.000000, 1.000000) 
(-4.500000, -4.000000, 0.168318) (-4.500000, -4.500000, 0.168318) (0.000000, 1.000000) 
(-4.500000, -4.000000, 0.168318) (-4.500000, -4.500000, 0.168318) (0.000000, 1.000000) 
(-4.000000, -4.500000, 0.521926) (-4.500000, -4.500000, 0.521926) (0.000000, 1.000000) 
(-4.000000, -4.000000, 0.646688) (-4.500000, -4.500000, 0.646688) (0.000000, 1.000000) 
(-4.500000, -4.000000, 0.168318) (-4.500000, -4.000000, 0.168318) (0.000000, 1.000000) 
(-4.000000, -4.000000, 0.646688) (-4.500000, -4.000000, 0.646688) (0.000000, 1.000000) 
(-4.500000, -3.500000, 0.208553) (-4.500000, -4.000000, 0.208553) (0.000000, 1.000000) 
(-4.500000, -3.500000, 0.208553) (-4.500000, -4.000000, 0.208553) (0.000000, 1.000000) 
(-4.000000, -4.000000, 0.646688) (-4.500000, -4.000000, 0.646688) (0.000000, 1.000000) 
(-4.000000, -3.500000, 0.613118) (-4.500000, -4.000000, 0.613118) (0.000000, 1.000000) 
(-4.500000, -3.500000, 0.208553) (-4.500000, -3.500000, 0.208553) (0.000000, 1.000000) 
(-4.000000, -3.500000, 0.613118) (-4.500000, -3.500000, 0.613118) (0.000000, 1.000000) 
(-4.500000, -3.000000, 0.197726) (-4.500000, -3.500000, 0.197726) (0.000000, 1.000000) 
(-4.500000, -3.000000, 0.197726) (-4.500000, -3.500000, 0.197726) (0.000000, 1.000000) 
(-4.000000, -3.500000, 0.613118) (-4.500000, -3.500000, 0.613118) (0.000000, 1.000000) 
(-4.000000, -3.000000, 0.429435) (-4.500000, -3.500000, 0.429435) (0.000000, 1.000000) 
(-4.500000, -3.000000, 0.197726) (-4.500000, -3.000000, 0.197726) (0.000000, 1.000000) 
(-4.000000, -3.000000, 0.429435) (-4.500000, -3.000000, 0.429435) (0.000000, 1.000000) 
(-4.500000, -2.500000, 0.138490) (-4.500000, -3.000000, 0.138490) (0.000000, 1.000000) 
(-4.500000, -2.500000, 0.138490) (-4.500000, -3.000000, 0.138490) (0.000000, 1.000000) 
(-4.000000, -3.000000, 0.429435) (-4.500000, -3.000000, 0.429435) (0.000000, 1.000000) 
(-4.000000, -2.500000, 0.140612) (-4.500000, -3.000000, 0.140612) (0.000000, 1.000000) 
(-4.500000, -2.500000, 0.138490) (-4.500000, -2.500000, 0.138490) (0.000000, 1.000000) 
(-4.000000, -2.500000, 0.140612) (-4.500000, -2.500000, 0.140612) (0.000000, 1.000000) 
(-4.500000, -2.000000, 0.045346) (-4.500000, -2.500000, 0.045346) (0.000000, 1.000000) 
(-4.500000, -2.000000, 0.045346) (-4.500000, -2.500000, 0.045346) (0.000000, 1.000000) 
(-4.000000, -2.500000, 0.140612) (-4.500000, -2.500000, 0.140612) (0.000000, 1.000000) 
(-4.000000, -2.000000, -0.182638) (-4.500000, -2.500000, -0.182638) (0.000000, 1.000000) 
